address,beds,baths,sqft,date,price,city,type
  8933 Hargis St,4,3,1867,03/24/2014KELLER WILLIAMS BEVERLY HILLS REALTY ,979500,Palms,sfh
  8939 David Ave,3,2,1518,03/24/2014Keller Williams Santa Monica ,749000,Palms,sfh
  8970 Cadillac Ave,3,2,1583,03/21/2014RE/MAX Estate PropertiesFeatured ,699000,Palms,sfh
  8970 W 24th St,3,1,1550,03/23/2014Featured ,779000,Palms,sfh
  9124 W 24th St,3,2,1557,03/11/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,885000,Palms,sfh
  9619 National Blvd,3,3,1394,03/09/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,671000,Palms,sfh
  9626 Bolton Rd,3,1.5,2940,03/24/2014Rodeo Realty - Beverly Hills ,1599000,Palms,sfh
 3255 Kelton Ave,2,2,1475,03/25/2014Rodeo Realty- BrentwoodFeatured ,9.00E+05,Palms,sfh
 8958 Kramerwood Pl,3,2,1258,03/17/2014Keller Williams ,649000,Palms,sfh
  13208 Summertime Ln,1,1,674,03/18/2014Keller WilliamsFeatured ,279000,Culver City,condo
  4067 Lincoln Ave Apt 2,2,2.5,1610,03/24/2014Rodeo Realty - Beverly Hills ,879000,Culver City,condo
  4900 Overland Ave,1,1,751,01/25/2014Palisades Realty ,344000,Culver City,condo
  4919 Indian Wood Rd,3,2,1095,03/06/2014RE/MAX MEGA GROUP ,449000,Culver City,condo
  4919 Indian Wood Rd Unit 399,3,2,1095,03/18/2014Re/Max Mega Group ,449000,Culver City,condo
  5301 Summertime Ln,2,2,1073,02/27/2014Keller WilliamsFeatured ,429000,Culver City,condo
  5600 Kensington Way Unit 105,3,2,1365,03/25/2014Legacy Realty & Investments ,445000,Culver City,condo
  5845 Doverwood Dr Unit 106,2,2,1265,03/25/2014Weatherby Realty ,439000,Culver City,condo
  5870 Green Valley Cir Unit 201,2,1,1042,03/18/2014The Real Estate ConsultantsFeatured ,365000,Culver City,condo
  5950 Canterbury Dr Unit C113,2,2,1029,03/10/2014The Real Estate ConsultantsFeatured ,399000,Culver City,condo
  5974 Buckingham Pkwy Unit 201,2,2,1168,03/19/2014Teles Properties ,399000,Culver City,condo
  6000 Canterbury Dr Unit M226,3,2,1238,03/18/2014Keller Williams ,575000,Culver City,condo
  6050 Canterbury Dr Unit F223,3,2,1208,03/24/2014The Real Estate Consultants ,479500,Culver City,condo
